titre
Tour_Eiffel
Sagrada_Família
Mont-Saint-Michel
Arc_de_triomphe_de_l'Étoile
Château_de_Versailles
Notre-Dame_de_Paris
Basilique_du_Sacré-Cœur_de_Montmartre
Pont_du_Gard
Château_de_Chambord
Alhambra_(Grenade)
Colisée
Tour_de_Pise
Atomium
Empire_State_Building
Statue_de_la_Liberté
Big_Ben
Kremlin_de_Moscou
Taj_Mahal
Grande_Muraille
Machu_Picchu
